"activity","time","p","p_peak","p_smooth"
"Using cardiovascular equipment",530,0.000979816521671714,0.735166049367516,0.744339059216826
"Using cardiovascular equipment",535,0.000993805369739912,0.745662020747905,0.810912354613055
"Using cardiovascular equipment",540,0.0012686877474563,0.951908993723745,0.848089880221735
"Using cardiovascular equipment",545,0.00112846519984829,0.846698626193556,0.881906666262826
"Using cardiovascular equipment",550,0.00112901664221939,0.847112378871177,0.838152409993645
"Using cardiovascular equipment",555,0.00109374301263258,0.820646224916202,0.824056528668357
"Using cardiovascular equipment",560,0.00107210496359177,0.804410982217693,0.798312473513851
"Using cardiovascular equipment",565,0.00102608295561792,0.769880213407658,0.799862985608135
"Using cardiovascular equipment",570,0.00109994249927238,0.825297761199054,0.779997977126465
"Using cardiovascular equipment",575,0.000992677750391839,0.744815956772684,0.763229637800762
"Using cardiovascular equipment",580,0.000959037302762523,0.719575195430547,0.737455548600084
"Using cardiovascular equipment",585,0.000996888726108113,0.747975493597021,0.711831475585766
"Using cardiovascular equipment",590,0.000890223794118078,0.667943737729731,0.682639734519483
"Using cardiovascular equipment",595,0.000842318568738904,0.631999972231696,0.68062367122648
"Using cardiovascular equipment",600,0.000988827803851489,0.741927303718012,0.674617510870897
"Using cardiovascular equipment",605,0.00086620907600124,0.649925256662981,0.677841509665992
"Using cardiovascular equipment",610,0.00085520923726747,0.641671968616982,0.639889352922979
"Using cardiovascular equipment",615,0.000837081880973779,0.628070833488975,0.627102467861553
"Using cardiovascular equipment",620,0.000815082662092376,0.611564601478702,0.616681240126535
"Using cardiovascular equipment",625,0.000813541544153815,0.610408285411927,0.620533900593742
"Using cardiovascular equipment",630,0.000852486157523584,0.639628814890598,0.6197519313098
"Using cardiovascular equipment",635,0.000811956076916801,0.609218693626876,0.61558879087755
"Using cardiovascular equipment",640,0.000796895860715085,0.597918864115177,0.593665099035311
"Using cardiovascular equipment",645,0.000764827612213118,0.573857739363878,0.59136276874547
"Using cardiovascular equipment",650,0.000802750559639699,0.602311702757356,0.593721017955912
"Using cardiovascular equipment",655,0.000806324961286029,0.604993611746502,0.630118788930915
"Using cardiovascular equipment",660,0.000910358560156155,0.683051052288886,0.612509039599776
"Using cardiovascular equipment",665,0.000732340656929999,0.54948245476394,0.585724014852517
"Using cardiovascular equipment",670,0.000699229116190914,0.524638537504724,0.52928927494648
"Using cardiovascular equipment",675,0.000684712841326703,0.513746832570776,0.490020680771779
"Using cardiovascular equipment",680,0.000575331159327537,0.431676672239837,0.444824241902006
"Using cardiovascular equipment",685,0.000518518033721471,0.389049220895405,0.389214423599886
"Using cardiovascular equipment",690,0.000462365445987418,0.346917377664415,0.341457063373197
"Using cardiovascular equipment",695,0.000384380622553721,0.28840459155977,0.31903585742686
"Using cardiovascular equipment",700,0.000428870253981406,0.321785603056396,0.31807684516886
"Using cardiovascular equipment",705,0.000458530981423869,0.344040340890414,0.337254525824874
"Using cardiovascular equipment",710,0.00046105966004575,0.345937633527811,0.324652323699329
"Using cardiovascular equipment",715,0.000378482266685154,0.283978996679762,0.332253368360441
"Using cardiovascular equipment",720,0.000488922601714265,0.366843474873751,0.346499376461948
"Using cardiovascular equipment",725,0.000518020155369497,0.388675657832331,0.395873425917021
"Using cardiovascular equipment",730,0.000575896889298116,0.432101145044981,0.421214792998195
"Using cardiovascular equipment",735,0.000590246201338773,0.442867576117273,0.428719679370793
"Using cardiovascular equipment",740,0.000548027301377395,0.411190316950124,0.425756221856203
"Using cardiovascular equipment",745,0.00056404795542842,0.423210772501211,0.434545641045778
"Using cardiovascular equipment",750,0.000625389356324997,0.469235833685998,0.435207169326111
"Using cardiovascular equipment",755,0.000550672321529704,0.413174901791124,0.431201642706692
"Using cardiovascular equipment",760,0.000548032466833377,0.411194192642954,0.414547728616685
"Using cardiovascular equipment",765,0.000558801215360397,0.419274091415975,0.409525929804145
"Using cardiovascular equipment",770,0.000530593423234804,0.398109505353504,0.399331311949152
"Using cardiovascular equipment",775,0.000507270838837721,0.380610339077975,0.400769102141763
"Using cardiovascular equipment",780,0.000564550000631278,0.423587461993811,0.392084807183496
"Using cardiovascular equipment",785,0.000495870591488828,0.372056620478702,0.394784954501213
"Using cardiovascular equipment",790,0.000518066966957849,0.388710781031126,0.381469181043137
"Using cardiovascular equipment",795,0.000511308906958829,0.383640141619584,0.374367444416481
"Using cardiovascular equipment",800,0.000467475378385561,0.350751410598733,0.352462201482232
"Using cardiovascular equipment",805,0.000430482186798286,0.32299505222838,0.347119766697338
"Using cardiovascular equipment",810,0.000489947994525388,0.367612837264903,0.340248519067236
"Using cardiovascular equipment",815,0.000440001740457379,0.330137667708426,0.352918801749761
"Using cardiovascular equipment",820,0.000481142383840583,0.361005900275953,0.353982897527779
"Using cardiovascular equipment",825,0.000494202619551288,0.370805124598958,0.367695503897861
"Using cardiovascular equipment",830,0.000494829510135314,0.371275486818671,0.359310196930566
"Using cardiovascular equipment",835,0.000447615010074154,0.335849979374068,0.374363568723651
"Using cardiovascular equipment",840,0.000554391235724824,0.415965239978214,0.38800038757139
"Using cardiovascular equipment",845,0.000549354254939107,0.412185943361887,0.427744862902354
"Using cardiovascular equipment",850,0.00060652724605658,0.455083405366962,0.451509563486324
"Using cardiovascular equipment",855,0.000649410774309833,0.487259341730124,0.46388208994129
"Using cardiovascular equipment",860,0.000598823919020407,0.449303522726785,0.458774001959149
"Using cardiovascular equipment",865,0.000586103333649198,0.439759141420539,0.450152036424305
"Using cardiovascular equipment",870,0.00061493715727763,0.461393445125592,0.450084499598971
"Using cardiovascular equipment",875,0.000598553883302595,0.449100912250781,0.43676656989103
"Using cardiovascular equipment",880,0.00053285361853982,0.399805352296718,0.416614619241572
"Using cardiovascular equipment",885,0.000534362649488922,0.400937593177217,0.38626618414095
"Using cardiovascular equipment",890,0.000477210284217513,0.358055606948913,0.362506320958011
"Using cardiovascular equipment",895,0.00043785342156664,0.328525762747902,0.36623457285953
"Using cardiovascular equipment",900,0.0005492694973223,0.412122348881774,0.383672152061702
"Using cardiovascular equipment",905,0.000546931790868752,0.41036834455543,0.404279484624762
"Using cardiovascular equipment",910,0.000520248704633263,0.390347760437081,0.407897659322162
"Using cardiovascular equipment",915,0.000563736218207428,0.422976872973975,0.423018227216715
"Using cardiovascular equipment",920,0.000607389080427574,0.45573004823909,0.447634155415925
"Using cardiovascular equipment",925,0.000618671747291261,0.46419554503471,0.462249899170607
"Using cardiovascular equipment",930,0.000622175045271101,0.46682410423802,0.450612301146839
"Using cardiovascular equipment",935,0.000560857915831203,0.420817254167789,0.432692374584637
"Using cardiovascular equipment",940,0.000547021648128376,0.410435765348102,0.426623287172677
"Using cardiovascular equipment",945,0.000597908722896077,0.44861684200214,0.442935557365042
"Using cardiovascular equipment",950,0.000626080045665147,0.469754064744883,0.461730375533762
"Using cardiovascular equipment",955,0.000622169868232002,0.466820219854263,0.499623109222445
"Using cardiovascular equipment",960,0.000749417051734521,0.562295043068188,0.517827220426451
"Using cardiovascular equipment",965,0.00069886641386882,0.524366398356902,0.550243491773168
"Using cardiovascular equipment",970,0.000751781395847425,0.564069033894413,0.564410927524544
"Using cardiovascular equipment",975,0.000806063387474032,0.604797350322317,0.582662163418019
"Using cardiovascular equipment",980,0.000771841202971528,0.579120106037328,0.575720694716919
"Using cardiovascular equipment",985,0.000724026989653655,0.543244627791112,0.562898043964512
"Using cardiovascular equipment",990,0.000754793969892886,0.566329398065094,0.553332185357046
"Using cardiovascular equipment",995,0.000733593573137556,0.55042253021493,0.571896215921229
"Using cardiovascular equipment",1000,0.000798252440643624,0.598936719483663,0.565924333461997
"Using cardiovascular equipment",1005,0.000730916306727927,0.548413750687399,0.570724382598255
"Using cardiovascular equipment",1010,0.000752785839099459,0.564822677623702,0.574386033902421
"Using cardiovascular equipment",1015,0.000812892996124292,0.609921673396162,0.647629921999248
"Using cardiovascular equipment",1020,0.00102377084644921,0.768145414977878,0.702583012595358
"Using cardiovascular equipment",1025,0.000972507408652276,0.729681949412033,0.784585856227235
"Using cardiovascular equipment",1030,0.00114076888654538,0.855930204291793,0.819792930506201
"Using cardiovascular equipment",1035,0.00116454097486278,0.873766637814778,0.859098130275417
"Using cardiovascular equipment",1040,0.00112966326815348,0.847597548719681,0.855180144582536
"Using cardiovascular equipment",1045,0.00112510341702243,0.84417624721315,0.878407053770449
"Using cardiovascular equipment",1050,0.001257410236396,0.943447365378516,0.875780034902376
"Using cardiovascular equipment",1055,0.00111915953300999,0.839716492115462,0.89180933015983
"Using cardiovascular equipment",1060,0.00118919411464449,0.892264132985512,0.871434562869098
"Using cardiovascular equipment",1065,0.00117594483017715,0.88232306350632,0.892917985047931
"Using cardiovascular equipment",1070,0.00120505772707504,0.90416675865196,0.895157307012442
"Using cardiovascular equipment",1075,0.00119814770272187,0.898982098879047,0.905728498590734
"Using cardiovascular equipment",1080,0.00121821213089545,0.914036638241195,0.897241556711778
"Using cardiovascular equipment",1085,0.00117112398158193,0.878705933015092,0.893049163626757
"Using cardiovascular equipment",1090,0.00118138505700294,0.886404919623984,0.885147739197235
"Using cardiovascular equipment",1095,0.00118661948781524,0.890332364952629,0.879929935606236
"Using cardiovascular equipment",1100,0.00115026138800992,0.863052522242095,0.870102438115559
"Using cardiovascular equipment",1105,0.00114209130391272,0.856922427151952,0.85976109150536
"Using cardiovascular equipment",1110,0.00114527118722224,0.859308325122032,0.833435001066414
"Using cardiovascular equipment",1115,0.00104500052190235,0.784074250925258,0.80208782837752
"Using cardiovascular equipment",1120,0.00101675440457672,0.76288090908527,0.773240244598807
"Using cardiovascular equipment",1125,0.00102992851373639,0.772765573785893,0.778032895912141
"Using cardiovascular equipment",1130,0.00106416320879515,0.79845220486526,0.777019780083963
